"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","peak","transition","from_stage","to_stage","direction","significant"
0,-5.39623745693367,0.031,0.663,0,"chr15-64453891-64454270","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.81017185373196,0.011,0.641,0,"chr4-166216074-166216372","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.8332024886824,0,0.63,0,"chr16-15068455-15068705","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-7.03543766116133,0.01,0.637,0,"chr12-112445843-112446160","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.4589560761485,0,0.626,0,"chr3-119813135-119813606","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.8415550810268,0,0.626,0,"chr11-64006407-64006657","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.83847785787,0,0.626,0,"chr15-89865367-89865617","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.29377836074433,0.034,0.66,0,"chr17-62970248-62970516","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.8413142580685,0,0.626,0,"chr19-18313408-18313658","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.73301223098749,0.012,0.637,0,"chr5-96268896-96269190","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.10802647704514,0.035,0.659,0,"chr6-116886076-116886451","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.40185250215326,0.014,0.638,0,"chr11-66443988-66444321","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.34664922388846,0.027,0.649,0,"chr2-133036967-133037229","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.86413604944809,0.01,0.631,0,"chr3-15598235-15598708","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.51685218174468,0.028,0.649,0,"chr16-11808293-11808685","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.046253180243,0.02,0.641,0,"chr20-57592452-57592841","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.91195891765953,0.01,0.631,0,"chr21-44357301-44357695","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.8057312398193,0,0.619,0,"chr16-21409026-21409276","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.88128405221066,0.01,0.629,0,"chr17-57078345-57078600","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.24792976108275,0.015,0.632,0,"chr10-35409494-35409779","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.7303806905393,0,0.617,0,"chr12-46383614-46383880","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-4.59236505557958,0.052,0.668,0,"chr6-32160445-32160711","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-4.65308381263441,0.05,0.666,0,"chr12-111842570-111842874","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.34931258792152,0.03,0.646,0,"chr16-27211253-27211510","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.8144594074271,0,0.616,0,"chr17-6917652-6917902","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.54459033371256,0.014,0.629,0,"chr3-52569454-52569796","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.6240238919309,0,0.615,0,"chr16-56965352-56965617","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.4341652304876,0.026,0.64,0,"chr11-2419910-2420682","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-7.36508753141928,0.007,0.62,0,"chr4-48298459-48298723","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.4196731339583,0.012,0.625,0,"chr4-120291517-120291799","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-4.77499205142318,0.038,0.651,0,"chr19-47994917-47996109","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.8217184607914,0,0.612,0,"chr12-120512943-120513193","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-3.82153087150791,0.102,0.713,0,"chr14-99946213-99946696","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.10844796705401,0.016,0.627,0,"chr19-14246087-14246391","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.59056425220049,0.013,0.623,0,"chr15-59158416-59158715","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.43906299256521,0.013,0.623,0,"chr17-17940681-17941017","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.8901354742995,0.02,0.629,0,"chr6-31938276-31938596","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.50398188288988,0.013,0.622,0,"chr19-7959406-7959747","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.82519913323195,0.021,0.629,0,"chr3-197678371-197678768","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-3.37814112395731,0.15,0.756,0,"chr4-153455973-153456283","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.55536687329552,0.013,0.619,0,"chr13-31051616-31052070","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.8015470249931,0,0.606,0,"chr15-44083580-44083830","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-4.02499626472477,0.084,0.688,0,"chr7-25164335-25164727","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.7958748826056,0,0.604,0,"chr9-35598923-35599187","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.27309705808654,0.032,0.636,0,"chr13-33859678-33860066","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.81128031412459,0.01,0.614,0,"chr17-75135219-75135762","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-7.09011455844115,0.008,0.611,0,"chr3-51062608-51062966","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.28609098083565,0.029,0.632,0,"chr9-127622092-127622719","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.2249656135946,0,0.603,0,"chr19-14639998-14640267","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.15275164184571,0.034,0.636,0,"chr2-192540595-192540883","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.466868661191,0,0.6,0,"chr6-33385656-33385937","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.7126032750527,0.023,0.622,0,"chr6-64228957-64229245","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.96041535916706,0.009,0.608,0,"chr7-100101488-100101793","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.8833737714046,0.01,0.609,0,"chr12-4398409-4398662","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-4.89696642438291,0.041,0.639,0,"chr21-45510288-45510585","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.94205324027697,0.009,0.606,0,"chr9-110044007-110044341","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-4.4209728383564,0.06,0.657,0,"chr19-19484010-19484304","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.82306249654709,0.021,0.618,0,"chr19-49619359-49619862","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.59322933188931,0.024,0.62,0,"chr19-58909647-58910130","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.06054122587359,0.017,0.612,0,"chr11-10817160-10817500","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-4.96336739886634,0.038,0.63,0,"chr2-219125743-219126700","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-4.88883067513378,0.039,0.631,0,"chr5-98263591-98263879","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.2356967946488,0.031,0.623,0,"chr7-39988038-39988420","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-4.4455918830551,0.058,0.65,0,"chr17-4612690-4612968","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.772880436881,0,0.591,0,"chr15-59042996-59043271","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.96462046570691,0.018,0.609,0,"chr21-37522783-37523283","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-4.68533807207293,0.05,0.64,0,"chr5-61587696-61587963","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-3.37777487097914,0.143,0.733,0,"chr9-139980299-139980620","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.37855650760825,0.013,0.603,0,"chr11-204634-205017","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-7.0120888159478,0.009,0.599,0,"chr20-60695504-60695799","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-4.13806377812658,0.076,0.665,0,"chr18-9117031-9117335","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-3.83538104136087,0.094,0.682,0,"chr3-136470445-136470753","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.09599274146464,0.016,0.604,0,"chr16-81038622-81038898","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.7793006817891,0,0.587,0,"chr6-11520029-11520279","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.09060906278022,0.035,0.622,0,"chr7-148723549-148724131","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-4.73832327816572,0.044,0.631,0,"chr9-116143150-116143432","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.01757167951564,0.036,0.623,0,"chr12-123707927-123708196","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-4.06631659596197,0.071,0.656,0,"chr19-14228065-14228355","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.4588178029798,0,0.585,0,"chr12-104323603-104323861","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.49895701214704,0.024,0.609,0,"chr16-30383373-30383914","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.7684841300819,0,0.585,0,"chr16-67514263-67514513","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.10855784069091,0.015,0.6,0,"chr19-1406014-1406392","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.72817780823921,0.021,0.605,0,"chr9-131833967-131834245","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.64324373220803,0.023,0.607,0,"chr10-31248332-31248595","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.7784354246997,0,0.583,0,"chr8-41347350-41347600","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.11455488939657,0.035,0.618,0,"chr14-103820996-103821494","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-7.47851794545277,0.007,0.59,0,"chr22-36923484-36923797","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.7688132537175,0,0.582,0,"chr10-14803635-14803885","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.7769060048687,0,0.582,0,"chr11-65336499-65336749","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-4.85092401099234,0.041,0.623,0,"chr22-46423206-46423538","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.08516748436861,0.018,0.599,0,"chr2-172193382-172193642","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.16465645386678,0.032,0.613,0,"chr3-129148525-129148820","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.7432492110685,0,0.581,0,"chr11-65261394-65261661","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.7704322761778,0,0.581,0,"chr14-60518570-60518820","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.62306551885635,0.022,0.602,0,"chr4-8159036-8159398","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-4.97443366953577,0.038,0.617,0,"chr7-66092450-66092724","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-7.2345116623728,0.007,0.586,0,"chr9-102524494-102524858","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.7435882817926,0,0.579,0,"chr9-135144443-135144727","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-4.9930853933454,0.036,0.615,0,"chr11-66059833-66060188","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-4.5930106484844,0.047,0.626,0,"chr17-74258895-74259413","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-4.41578394320496,0.058,0.637,0,"chr19-49578263-49578557","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.5568447077711,0.025,0.603,0,"chr6-33361333-33361858","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-3.7555125117975,0.104,0.681,0,"chr9-100394696-100395002","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.82848847483587,0.019,0.595,0,"chr3-20167935-20168311","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-7.03651265212862,0.008,0.584,0,"chr15-80201837-80202129","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-3.77544898059808,0.092,0.667,0,"chr4-129208222-129208600","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.7623969376966,0,0.575,0,"chr10-91433371-91433621","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.49477107635739,0.023,0.598,0,"chr12-110149826-110150339","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.07644631660052,0.015,0.59,0,"chr16-24528644-24528935","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.83118810183059,0.019,0.594,0,"chr17-67112037-67112306","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-7.13360396158528,0.007,0.582,0,"chr22-40988559-40988822","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.5961050884208,0,0.574,0,"chr4-1713537-1713807","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.7545298877749,0,0.574,0,"chr4-26828838-26829088","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.97273925805752,0.01,0.584,0,"chr19-36421425-36421676","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.7479493120146,0,0.573,0,"chr5-148929649-148929899","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.83203432723737,0.009,0.582,0,"chr8-41384666-41384916","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.5064161340963,0,0.573,0,"chr16-18937016-18937271","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-4.93999518983147,0.039,0.611,0,"chr2-242250267-242250559","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.89812694578938,0.018,0.59,0,"chr12-99006861-99007124","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-4.64787614321265,0.046,0.618,0,"chr17-1418764-1419037","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-3.72147787112332,0.099,0.67,0,"chr3-57582248-57582612","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.7330929343756,0,0.571,0,"chr3-49759923-49760307","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.74245668032357,0.01,0.581,0,"chr11-47632826-47633174","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.25760276401931,0.029,0.6,0,"chr11-122931110-122931373","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.71651151411882,0.02,0.59,0,"chr6-111531688-111531958","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-3.30929373057998,0.143,0.713,0,"chr17-1618435-1618860","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-7.27239078246547,0.007,0.577,0,"chr17-30710682-30710958","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.7523847291212,0,0.57,0,"chr19-50886802-50887052","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-4.44713050738334,0.057,0.627,0,"chr20-33264282-33264557","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-4.38897903876539,0.056,0.626,0,"chrX-346919-347198","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.04604396522149,0.017,0.586,0,"chr2-113032197-113032463","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.55957644782799,0.022,0.591,0,"chr11-1409983-1410331","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.7380672044393,0,0.569,0,"chr21-45758660-45758919","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-3.89933519494651,0.078,0.646,0,"chr17-19273970-19274296","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.39256333916142,0.012,0.58,0,"chr19-3560346-3560713","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-7.15972258902184,0.007,0.574,0,"chr2-208534060-208534314","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.94884646229688,0.009,0.576,0,"chr19-40810977-40811261","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.1679037388851,0.029,0.596,0,"chr22-29993229-29993507","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.7505921262276,0,0.566,0,"chr3-49043470-49043720","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.15880731794196,0.03,0.596,0,"chr7-142980938-142981226","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.07159698836598,0.033,0.599,0,"chr16-71995056-71995478","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.57121953873277,0.022,0.588,0,"chr19-51013225-51013594","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.7392965336511,0,0.565,0,"chr10-126490715-126490965","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.20500815024351,0.014,0.579,0,"chr16-22291471-22291744","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
