"transition","gene_name","module","peak_id","tier","distance_bp","peak_log2FC","gene_biotype"
"T1_MBC_to_prePB","XAF1","blue","chr17-7183942-7184211","distal",428630,1.57581792431378,"protein_coding"
"T1_MBC_to_prePB","IFIT1","blue","chr10-88963283-88963545","distal",429131.5,3.78340488762775,"protein_coding"
"T1_MBC_to_prePB","XAF1","blue","chr17-7184766-7185029","distal",429451,6.22080336534444,"protein_coding"
"T1_MBC_to_prePB","LGALS3BP","blue","chr17-78549194-78549447","distal",430788,2.34707755764125,"protein_coding"
"T1_MBC_to_prePB","IFI27","blue","chr14-93673287-93673724","distal",431330,6.64388676536334,"protein_coding"
"T1_MBC_to_prePB","ITGA6","blue","chr2-172864718-172865007","distal",437509,6.58025209818463,"protein_coding"
"T1_MBC_to_prePB","XAF1","blue","chr17-7197897-7198438","distal",442721,2.54355298936653,"protein_coding"
"T1_MBC_to_prePB","HIST1H2BK","blue","chr6-27598675-27598944","distal",452012,10.8639140021204,"protein_coding"
"T1_MBC_to_prePB","IFI27","blue","chr14-93650930-93651728","distal",453506.5,3.81374476817328,"protein_coding"
"T1_MBC_to_prePB","XAF1","blue","chr17-7211105-7211401","distal",455806.5,11.4216522024644,"protein_coding"
"T1_MBC_to_prePB","XAF1","blue","chr17-7216829-7217405","distal",461670.5,11.1325398769253,"protein_coding"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65029181-65029446","distal",468448,5.76908547561724,"lincRNA"
"T1_MBC_to_prePB","LGALS3BP","blue","chr17-79451291-79451582","distal",471328,1.55802249601813,"protein_coding"
"T1_MBC_to_prePB","XAF1","blue","chr17-7227570-7227830","distal",472253.5,4.16181762531469,"protein_coding"
"T1_MBC_to_prePB","IFIT3","blue","chr10-88855160-88855426","distal",472600.5,4.64719626483804,"protein_coding"
"T1_MBC_to_prePB","LGALS3BP","blue","chr17-79454929-79455191","distal",474951.5,5.30812304859587,"protein_coding"
"T1_MBC_to_prePB","XAF1","blue","chr17-7232812-7233110","distal",477514.5,4.81129769131028,"protein_coding"
"T1_MBC_to_prePB","IFIT1","blue","chr10-89874286-89874562","distal",481878.5,3.45707810125754,"protein_coding"
"T1_MBC_to_prePB","IFI6","blue","chr1-27189273-27189545","distal",482808.5,2.64651533924253,"protein_coding"
"T1_MBC_to_prePB","RP11-16E12.2","blue","chr15-31727512-31727786","distal",496811.5,4.14018700234649,"lincRNA"
"T1_MBC_to_prePB","IFI27","blue","chr14-94602989-94603341","distal",498329.5,3.31011073979612,"protein_coding"
"T1_MBC_to_prePB","RP11-16E12.2","blue","chr15-31729884-31730225","distal",499217,2.86613177024722,"lincRNA"
"T1_MBC_to_prePB","LGALS3BP","blue","chr17-79479734-79480009","distal",499763,1.39457104433274,"protein_coding"
"T1_MBC_to_prePB","XAF1","blue","chr17-7255182-7255709","distal",499999,1.61301480581582,"protein_coding"
"T1_MBC_to_prePB","STAT5A","yellow","chr17-42287755-42288027","promoter",344.5,2.67736776464996,"protein_coding"
"T1_MBC_to_prePB","PAX5","yellow","chr9-37037593-37037982","proximal",3603,4.09397244781213,"protein_coding"
"T1_MBC_to_prePB","LTA","yellow","chr6-31566377-31566652","proximal",5539,3.25608908993448,"protein_coding"
"T1_MBC_to_prePB","BIRC3","yellow","chr11-102323308-102323826","proximal",6117.5,5.80331964136705,"protein_coding"
"T1_MBC_to_prePB","PAX5","yellow","chr9-37027589-37027860","proximal",6460,5.30454427020998,"protein_coding"
"T1_MBC_to_prePB","CCL17","yellow","chr16-57411210-57411522","proximal",6599.5,4.06594737394183,"protein_coding"
"T1_MBC_to_prePB","CCR7","yellow","chr17-40558122-40558376","proximal",7222.5,3.5889896298883,"protein_coding"
"T1_MBC_to_prePB","TNF","yellow","chr6-31566377-31566652","proximal",9052,3.25608908993448,"protein_coding"
"T1_MBC_to_prePB","STAT5A","yellow","chr17-42277392-42277833","proximal",9934,5.70305460583327,"protein_coding"
"T1_MBC_to_prePB","STAT5A","yellow","chr17-42298543-42299003","proximal",11226.5,2.01811780061332,"protein_coding"
"T1_MBC_to_prePB","STAT5A","yellow","chr17-42299073-42299760","proximal",11870,4.35700274235287,"protein_coding"
"T1_MBC_to_prePB","CD40","yellow","chr20-46130479-46130806","proximal",12371,5.53510613076369,"protein_coding"
"T1_MBC_to_prePB","SPIB","yellow","chr19-50432196-50432535","proximal",13428,12.0076688081868,"protein_coding"
"T1_MBC_to_prePB","SPIB","yellow","chr19-50398470-50398807","proximal",20299,3.96615518624912,"protein_coding"
"T1_MBC_to_prePB","SPIB","yellow","chr19-50440967-50441234","proximal",22163,2.92479459347646,"protein_coding"
"T1_MBC_to_prePB","LTA","yellow","chr6-31548617-31548900","proximal",23295,2.72256628214151,"protein_coding"
"T1_MBC_to_prePB","CCR7","yellow","chr17-40540589-40540892","proximal",24731,5.81559859066599,"protein_coding"
"T1_MBC_to_prePB","SPIB","yellow","chr19-50393894-50394152","proximal",24914.5,3.55435563523495,"protein_coding"
"T1_MBC_to_prePB","TNF","yellow","chr6-31548617-31548900","proximal",26808,2.72256628214151,"protein_coding"
"T1_MBC_to_prePB","LTA","yellow","chr6-31544775-31545135","proximal",27098.5,2.83164114374328,"protein_coding"
"T1_MBC_to_prePB","LTA","yellow","chr6-31543162-31543802","proximal",28571.5,4.04130379273564,"protein_coding"
"T1_MBC_to_prePB","TNF","yellow","chr6-31544775-31545135","proximal",30611.5,2.83164114374328,"protein_coding"
"T1_MBC_to_prePB","LTA","yellow","chr6-31539992-31540527","proximal",31794,5.33848446511456,"protein_coding"
"T1_MBC_to_prePB","TNF","yellow","chr6-31543162-31543802","proximal",32084.5,4.04130379273564,"protein_coding"
"T1_MBC_to_prePB","TNF","yellow","chr6-31539992-31540527","proximal",35307,5.33848446511456,"protein_coding"
"T1_MBC_to_prePB","SPIB","yellow","chr19-50380914-50381422","proximal",37769.5,7.34984290010484,"protein_coding"
"T1_MBC_to_prePB","BATF3","yellow","chr1-212661932-212662190","proximal",37923.5,11.1317092279354,"protein_coding"
"T1_MBC_to_prePB","AHR","yellow","chr7-17337975-17338229","proximal",39480.5,11.3429897342789,"protein_coding"
"T1_MBC_to_prePB","CCL22","yellow","chr16-57318338-57318790","proximal",40207.5,3.59441561180746,"protein_coding"
"T1_MBC_to_prePB","BATF3","yellow","chr1-212740423-212740673","proximal",40563.5,11.4868127268424,"protein_coding"
"T1_MBC_to_prePB","BHLHE40","yellow","chr3-5019915-5020429","proximal",41056.5,2.83392745414845,"protein_coding"
"T1_MBC_to_prePB","BHLHE40","yellow","chr3-5021992-5022270","proximal",43015.5,3.96960681477131,"protein_coding"
"T1_MBC_to_prePB","CCR7","yellow","chr17-40610644-40610932","proximal",45316.5,2.1603986204825,"protein_coding"
"T1_MBC_to_prePB","BHLHE40","yellow","chr3-5025767-5026037","proximal",46786.5,1.87014404131613,"protein_coding"
"T1_MBC_to_prePB","SPIB","yellow","chr19-50370603-50370904","proximal",48184,1.17388142889404,"protein_coding"
"T1_MBC_to_prePB","BHLHE40","yellow","chr3-5028426-5028730","proximal",49462.5,5.47502860721356,"protein_coding"
"T1_MBC_to_prePB","RAB13","yellow","chr1-153935728-153936012","distal",50487.5,11.8359800128323,"protein_coding"
"T1_MBC_to_prePB","CCL22","yellow","chr16-57411210-57411522","distal",52594.5,4.06594737394183,"protein_coding"
"T1_MBC_to_prePB","CD40","yellow","chr20-46063125-46063401","distal",55008.5,3.59638558203025,"protein_coding"
"T1_MBC_to_prePB","CD22","yellow","chr19-35263955-35264230","distal",55168,4.04593031438488,"protein_coding"
"T1_MBC_to_prePB","SPIB","yellow","chr19-50353958-50354246","distal",64835.5,3.48701624038761,"protein_coding"
"T1_MBC_to_prePB","PAX5","yellow","chr9-36968780-36969030","distal",65279.5,10.9912609887371,"protein_coding"
"T1_MBC_to_prePB","STAT5A","yellow","chr17-42219790-42220062","distal",67620.5,4.52422251899647,"protein_coding"
"T1_MBC_to_prePB","BHLHE40","yellow","chr3-4910062-4910357","distal",68906,4.98694729744963,"protein_coding"
"T1_MBC_to_prePB","PEA15","yellow","chr1-160132180-160132441","distal",73026,10.8477860139915,"protein_coding"
"T1_MBC_to_prePB","CCL22","yellow","chr16-57278809-57279153","distal",79790.5,6.17336708447692,"protein_coding"
"T1_MBC_to_prePB","BATF3","yellow","chr1-212781802-212782222","distal",82027.5,1.22319994636721,"protein_coding"
"T1_MBC_to_prePB","BATF3","yellow","chr1-212782752-212783156","distal",82969.5,1.84263882335496,"protein_coding"
"T1_MBC_to_prePB","CCL17","yellow","chr16-57318338-57318790","distal",86202.5,3.59441561180746,"protein_coding"
"T1_MBC_to_prePB","BHLHE40","yellow","chr3-5068383-5068686","distal",89419,2.93044381570891,"protein_coding"
"T1_MBC_to_prePB","CCR7","yellow","chr17-40474897-40475186","distal",90430,3.20300076836937,"protein_coding"
"T1_MBC_to_prePB","CCL17","yellow","chr16-57496422-57496680","distal",91784.5,4.59797178482379,"protein_coding"
"T1_MBC_to_prePB","CAPG","yellow","chr2-85512623-85512885","distal",94322.5,1.54604675860119,"protein_coding"
"T1_MBC_to_prePB","STAT5A","yellow","chr17-42193004-42193305","distal",94392,10.4894183005283,"protein_coding"
"T1_MBC_to_prePB","TNF","yellow","chr6-31670883-31671171","distal",95460.5,5.91879655723929,"protein_coding"
"T1_MBC_to_prePB","STAT5A","yellow","chr17-42385772-42386062","distal",98370.5,4.66355032293114,"protein_coding"
"T1_MBC_to_prePB","LTA","yellow","chr6-31670883-31671171","distal",98973.5,5.91879655723929,"protein_coding"
"T1_MBC_to_prePB","BIRC3","yellow","chr11-102217763-102218024","distal",99556,4.4047537335308,"protein_coding"
"T1_MBC_to_prePB","CCR7","yellow","chr17-40464308-40464569","distal",101033,3.40454697679238,"protein_coding"
"T1_MBC_to_prePB","SPIB","yellow","chr19-50316330-50316846","distal",102349.5,5.16534199200459,"protein_coding"
"T1_MBC_to_prePB","CCR7","yellow","chr17-40669538-40669823","distal",104209,4.25156219057785,"protein_coding"
"T1_MBC_to_prePB","CCL17","yellow","chr16-57509831-57510098","distal",105198,5.02424402289212,"protein_coding"
"T1_MBC_to_prePB","CD40","yellow","chr20-46012807-46013069","distal",105333.5,4.647044242719,"protein_coding"
"T1_MBC_to_prePB","SPIB","yellow","chr19-50312461-50312780","distal",106317,11.8467557807594,"protein_coding"
"T1_MBC_to_prePB","DEK","yellow","chr6-18156101-18156450","distal",108547,3.30461493338145,"protein_coding"
"T1_MBC_to_prePB","DEK","yellow","chr6-18155441-18155715","distal",109244.5,2.19487826720036,"protein_coding"
"T1_MBC_to_prePB","DEK","yellow","chr6-18155156-18155406","distal",109541.5,12.5698035781163,"protein_coding"
"T1_MBC_to_prePB","SPIB","yellow","chr19-50529111-50529383","distal",110309.5,5.75338002249075,"protein_coding"
"T1_MBC_to_prePB","CCR7","yellow","chr17-40679219-40679679","distal",113977.5,3.53103721125458,"protein_coding"
"T1_MBC_to_prePB","STAT5A","yellow","chr17-42402222-42402604","distal",114866.5,2.26959567120874,"protein_coding"
"T1_MBC_to_prePB","STAT5A","yellow","chr17-42404215-42404487","distal",116804.5,4.50057827872159,"protein_coding"
"T1_MBC_to_prePB","TNF","yellow","chr6-31695190-31695455","distal",119756,3.20469776329222,"protein_coding"
"T1_MBC_to_prePB","LTA","yellow","chr6-31695190-31695455","distal",123269,3.20469776329222,"protein_coding"
"T1_MBC_to_prePB","CCL17","yellow","chr16-57278809-57279153","distal",125785.5,6.17336708447692,"protein_coding"
"T1_MBC_to_prePB","TNF","yellow","chr6-31702603-31702917","distal",127193.5,3.69560301358278,"protein_coding"
"T1_MBC_to_prePB","TNF","yellow","chr6-31704043-31704354","distal",128632,4.28046263180998,"protein_coding"
"T1_MBC_to_prePB","BIRC3","yellow","chr11-102188155-102188432","distal",129156,4.54043396168141,"protein_coding"
"T1_MBC_to_prePB","LTA","yellow","chr6-31702603-31702917","distal",130706.5,3.69560301358278,"protein_coding"
"T1_MBC_to_prePB","LTA","yellow","chr6-31704043-31704354","distal",132145,4.28046263180998,"protein_coding"
"T1_MBC_to_prePB","CCR7","yellow","chr17-40700271-40700550","distal",134939,2.98981629878664,"protein_coding"
"T1_MBC_to_prePB","SPIB","yellow","chr19-50554037-50554413","distal",135287.5,3.11014016825246,"protein_coding"
"T1_MBC_to_prePB","STAT5A","yellow","chr17-42422877-42423304","distal",135544,4.61837731094664,"protein_coding"
"T1_MBC_to_prePB","CD40","yellow","chr20-45981318-45981604","distal",136810.5,3.33499479647062,"protein_coding"
"T1_MBC_to_prePB","CCR7","yellow","chr17-40428257-40428904","distal",136891,3.4576184388878,"protein_coding"
"T1_MBC_to_prePB","CCL22","yellow","chr16-57496422-57496680","distal",137779.5,4.59797178482379,"protein_coding"
"T1_MBC_to_prePB","STAT5A","yellow","chr17-42428169-42428469","distal",140772.5,4.90180978059787,"protein_coding"
"T1_MBC_to_prePB","STAT5A","yellow","chr17-42431976-42432231","distal",144557,4.12113846693681,"protein_coding"
"T1_MBC_to_prePB","CD22","yellow","chr19-35464163-35464426","distal",145034,3.62693569496063,"protein_coding"
"T1_MBC_to_prePB","SPIB","yellow","chr19-50269868-50270144","distal",148931.5,3.19327767735864,"protein_coding"
"T1_MBC_to_prePB","CCL17","yellow","chr16-57553744-57554021","distal",149116,2.84031738401227,"protein_coding"
