"transition","gene_name","module","peak_id","tier","distance_bp","peak_log2FC","gene_biotype"
"T1_MBC_to_prePB","BHLHE40","yellow","chr3-5021992-5022270","proximal",43015.5,3.96960681477131,"protein_coding"
"T1_MBC_to_prePB","CCR7","yellow","chr17-40610644-40610932","proximal",45316.5,2.1603986204825,"protein_coding"
"T1_MBC_to_prePB","BHLHE40","yellow","chr3-5025767-5026037","proximal",46786.5,1.87014404131613,"protein_coding"
"T1_MBC_to_prePB","SPIB","yellow","chr19-50370603-50370904","proximal",48184,1.17388142889404,"protein_coding"
"T1_MBC_to_prePB","BHLHE40","yellow","chr3-5028426-5028730","proximal",49462.5,5.47502860721356,"protein_coding"
"T2_prePB_to_PB","RANBP1","turquoise","chr22-20118378-20118905","proximal",2704,0.551257348650485,"protein_coding"
"T2_prePB_to_PB","ACTB","turquoise","chr7-5569266-5569853","proximal",5776,0.479312025109949,"protein_coding"
"T2_prePB_to_PB","TPI1","turquoise","chr12-6876031-6876312","proximal",9053,0.656358252072546,"protein_coding"
"T2_prePB_to_PB","CBX3","turquoise","chr7-26191574-26191904","proximal",9422.5,0.338181245878215,"protein_coding"
"T2_prePB_to_PB","TUBB","turquoise","chr6-30710523-30710814","proximal",9532,0.396062832512682,"protein_coding"
"T2_prePB_to_PB","RANBP1","turquoise","chr22-20104613-20104960","proximal",11151,0.440860814622119,"protein_coding"
"T2_prePB_to_PB","PPIA","turquoise","chr7-44807838-44808367","proximal",11423,1.37830763173135,"protein_coding"
"T2_prePB_to_PB","PCNA","turquoise","chr20-5107324-5107587","proximal",19170,0.419937562828332,"protein_coding"
"T2_prePB_to_PB","TPI1","turquoise","chr12-6887986-6888267","proximal",21008,0.283689713710933,"protein_coding"
"T2_prePB_to_PB","TUBB","turquoise","chr6-30689164-30689431","proximal",30903,0.330769907477372,"protein_coding"
"T2_prePB_to_PB","H2AFZ","turquoise","chr4-99916740-99917050","proximal",33492.5,0.293561368479197,"protein_coding"
"T2_prePB_to_PB","TPI1","turquoise","chr12-6833129-6833400","proximal",33854,0.339948931240466,"protein_coding"
"T2_prePB_to_PB","STMN1","turquoise","chr1-25942775-25943857","proximal",36325.5,0.55456057047657,"protein_coding"
"T2_prePB_to_PB","STMN1","turquoise","chr1-25869957-25870254","proximal",36885,0.475271006022636,"protein_coding"
"T2_prePB_to_PB","TFRC","turquoise","chr3-196044987-196045277","proximal",37056.5,0.331905160590741,"protein_coding"
"T2_prePB_to_PB","PFN1","turquoise","chr17-4901235-4901485","proximal",47700.5,11.8894516874651,"protein_coding"
"T2_prePB_to_PB","RANBP1","turquoise","chr22-20067906-20068326","proximal",47821.5,1.11842598338096,"protein_coding"
"T2_prePB_to_PB","PFN1","turquoise","chr17-4900801-4901072","proximal",48124,0.401198036247571,"protein_coding"
"T2_prePB_to_PB","LTB","brown","chr6-31588313-31588679","proximal",5974.5,0.337637717912891,"protein_coding"
"T2_prePB_to_PB","CXCR5","brown","chr11-118901493-118901760","proximal",17861,0.277378337646146,"protein_coding"
"T2_prePB_to_PB","CD82","brown","chr11-44586880-44587414","proximal",22720.5,0.29931123950942,"protein_coding"
"T2_prePB_to_PB","RGS2","brown","chr1-192777911-192778191","proximal",30987.5,0.439021504830107,"protein_coding"
"T2_prePB_to_PB","CXCR5","brown","chr11-118927702-118927971","proximal",44071,0.323186006541355,"protein_coding"
"T2_prePB_to_PB","CXCR5","brown","chr11-118927988-118928284","proximal",44370.5,0.377529192354189,"protein_coding"
"T2_prePB_to_PB","NFKBIA","brown","chr14-35451638-35451917","proximal",47029,0.330307885755899,"protein_coding"
"T3_PB_to_PC","IFI6","blue","chr1-27692458-27692875","proximal",20449,0.285831368985901,"protein_coding"
