"transition","peak_id","peak_log2FC","gene_name","gene_biotype","distance_bp","tier","module"
"T1_MBC_to_prePB","chr6-32163474-32163771",4.83628213756775,"HLA-DRA","protein_coding",276219,"distal","turquoise"
"T1_MBC_to_prePB","chr6-32163474-32163771",4.83628213756775,"HLA-DRB1","protein_coding",426225,"distal","turquoise"
"T1_MBC_to_prePB","chr6-32163474-32163771",4.83628213756775,"HLA-DQA1","protein_coding",464556,"distal","turquoise"
"T1_MBC_to_prePB","chr14-102414377-102414893",6.52514462031247,"HSP90AA1","protein_coding",274936.5,"distal","turquoise"
"T1_MBC_to_prePB","chr12-120524973-120525238",6.52826087603185,"TRIAP1","protein_coding",78694,"distal","turquoise"
"T1_MBC_to_prePB","chr16-89556938-89557234",6.606716622572,"TUBB3","protein_coding",364305.5,"distal","turquoise"
"T1_MBC_to_prePB","chr15-43802965-43803248",7.55344982889569,"WDR76","protein_coding",23856,"proximal","turquoise"
"T1_MBC_to_prePB","chr10-14879830-14880335",5.29627684462335,"FAM107B","protein_coding",105186,"distal","turquoise"
"T1_MBC_to_prePB","chr16-29984939-29985204",4.95013219953737,"ALDOA","protein_coding",68018,"distal","turquoise"
"T1_MBC_to_prePB","chr16-29984939-29985204",4.95013219953737,"DCTPP1","protein_coding",445003,"distal","turquoise"
"T1_MBC_to_prePB","chr6-33385975-33386231",6.41307340600599,"HLA-DMB","protein_coding",445033.5,"distal","brown"
"T1_MBC_to_prePB","chr6-33385975-33386231",6.41307340600599,"KIFC1","protein_coding",5432.5,"proximal","turquoise"
"T1_MBC_to_prePB","chr17-7835307-7835569",7.05793430079996,"AURKB","protein_coding",375161.5,"distal","turquoise"
"T1_MBC_to_prePB","chr17-7835307-7835569",7.05793430079996,"LINC00324","lincRNA",388604.5,"distal","blue"
"T1_MBC_to_prePB","chr3-136471267-136471527",5.11926187566235,"RP11-731C17.2","antisense",367623.5,"distal","blue"
"T1_MBC_to_prePB","chr22-42486898-42487157",7.21253487342265,"A4GALT","protein_coding",234270,"distal","yellow"
"T1_MBC_to_prePB","chr4-926041-926307",5.8007184618578,"CTBP1-AS2","antisense",323125.5,"distal","blue"
"T1_MBC_to_prePB","chr20-49347569-49347832",5.10814523993111,"ZFAS1","antisense",69523,"distal","turquoise"
"T1_MBC_to_prePB","chr20-49347569-49347832",5.10814523993111,"B4GALT5","protein_coding",366177,"distal","yellow"
"T1_MBC_to_prePB","chr15-59042007-59042272",7.27422769111387,"CCNB2","protein_coding",62938,"distal","turquoise"
"T1_MBC_to_prePB","chr8-48873269-48873542",7.61893368138247,"RP11-567J20.3","lincRNA",356317,"distal","turquoise"
"T1_MBC_to_prePB","chr14-74959985-74960567",5.36445885556777,"FOS","protein_coding",318497.5,"distal","brown"
"T1_MBC_to_prePB","chr5-139781172-139781432",7.29995969124097,"TMEM173","protein_coding",298367.5,"distal","turquoise"
"T1_MBC_to_prePB","chr11-189927-190205",4.43387054483998,"HRAS","protein_coding",347220.5,"distal","turquoise"
"T1_MBC_to_prePB","chr20-35233894-35234179",5.19034150035502,"MMP24-AS1","protein_coding",44094,"proximal","blue"
"T1_MBC_to_prePB","chr18-12377163-12377424",6.47323332274976,"TUBB6","protein_coding",69625,"distal","turquoise"
"T1_MBC_to_prePB","chr14-105957378-105957667",5.37311435568523,"CRIP2","protein_coding",484561,"distal","brown"
"T1_MBC_to_prePB","chr19-16770717-16771237",5.73592904457796,"KLF2","protein_coding",446160.5,"distal","brown"
"T1_MBC_to_prePB","chr3-119182395-119182674",7.01126381066548,"CD80","protein_coding",377067,"distal","yellow"
"T1_MBC_to_prePB","chr12-120105498-120105781",6.87192333039616,"TRIAP1","protein_coding",340772,"distal","turquoise"
"T1_MBC_to_prePB","chr13-31191790-31192073",5.22706597611753,"ALOX5AP","protein_coding",478454,"distal","yellow"
"T1_MBC_to_prePB","chr13-31191790-31192073",5.22706597611753,"HSPH1","protein_coding",29544,"proximal","turquoise"
"T1_MBC_to_prePB","chr4-775627-775898",7.20650022129458,"CTBP1-AS2","antisense",473537,"distal","blue"
"T1_MBC_to_prePB","chr17-1419924-1420207",5.02139497817483,"MIR22HG","lincRNA",297108,"distal","blue"
"T1_MBC_to_prePB","chr19-48018531-48018788",6.76257351408922,"SEPW1","protein_coding",240088,"distal","turquoise"
"T1_MBC_to_prePB","chr6-33359158-33359435",6.33561644376585,"HLA-DMB","protein_coding",418227,"distal","brown"
"T1_MBC_to_prePB","chr6-33359158-33359435",6.33561644376585,"KIFC1","protein_coding",32239,"proximal","turquoise"
"T1_MBC_to_prePB","chr6-30539026-30539288",6.91790947440262,"TUBB","protein_coding",181043.5,"distal","turquoise"
"T1_MBC_to_prePB","chr3-196669327-196669591",12.3512340501737,"NCBP2-AS2","protein_coding",273163.5,"distal","brown"
"T1_MBC_to_prePB","chr9-33290336-33290591",7.11456522407546,"DNAJA1","protein_coding",265253,"distal","turquoise"
"T1_MBC_to_prePB","chr9-33290336-33290591",7.11456522407546,"AQP3","protein_coding",157147,"distal","turquoise"
"T1_MBC_to_prePB","chr2-113403180-113403460",7.12538952150126,"IL1RN","protein_coding",296106.5,"distal","blue"
"T1_MBC_to_prePB","chr2-113403180-113403460",7.12538952150126,"RP11-480C16.1","lincRNA",29279.5,"proximal","blue"
"T1_MBC_to_prePB","chr2-113403180-113403460",7.12538952150126,"ACTR3","protein_coding",486639.5,"distal","turquoise"
"T1_MBC_to_prePB","chr15-80216013-80216312",7.81089999861193,"FAH","protein_coding",63673,"distal","turquoise"
"T1_MBC_to_prePB","chr10-131908652-131909083",12.682584807161,"BNIP3","protein_coding",73145,"distal","turquoise"
"T1_MBC_to_prePB","chr14-100842600-100842862",6.18151754140558,"WARS","protein_coding",465926.5,"distal","turquoise"
"T1_MBC_to_prePB","chr6-151773216-151773488",5.9895741099474,"ESR1","protein_coding",116661.5,"distal","blue"
"T1_MBC_to_prePB","chr19-36422361-36422619",6.18358875854212,"LINC00665","lincRNA",90772.5,"distal","turquoise"
"T1_MBC_to_prePB","chr3-49761321-49761604",5.81038274235433,"GPX1","protein_coding",402863,"distal","turquoise"
"T1_MBC_to_prePB","chr15-64455341-64455610",5.87143512964664,"KIAA0101","protein_coding",67789,"distal","turquoise"
"T1_MBC_to_prePB","chr12-50561123-50561402",6.41553774222052,"LIMA1","protein_coding",277717,"distal","turquoise"
"T1_MBC_to_prePB","chr4-73935295-73935561",7.31327970388426,"RASSF6","protein_coding",314797.5,"distal","blue"
"T1_MBC_to_prePB","chr11-63706118-63706385",4.95224764920951,"STIP1","protein_coding",479020,"distal","turquoise"
"T1_MBC_to_prePB","chr19-10679599-10679972",4.47721699517046,"CDKN2D","protein_coding",110727,"distal","brown"
"T1_MBC_to_prePB","chr5-133984194-133984470",7.07546286243309,"TCF7","protein_coding",130378.5,"distal","brown"
"T1_MBC_to_prePB","chr7-142985273-142985541",5.98457822128697,"ZYX","protein_coding",395672.5,"distal","turquoise"
"T1_MBC_to_prePB","chr11-2421529-2421947",6.6633013332649,"KCNQ1OT1","antisense",278255.5,"distal","blue"
"T1_MBC_to_prePB","chr11-2421529-2421947",6.6633013332649,"CDKN1C","protein_coding",464142.5,"distal","blue"
"T1_MBC_to_prePB","chr3-15643220-15643492",5.63412721452296,"SH3BP5-AS1","antisense",389172.5,"distal","blue"
"T1_MBC_to_prePB","chr13-45915277-45915545",7.08421827520222,"LCP1","protein_coding",296459.5,"distal","turquoise"
"T1_MBC_to_prePB","chr16-57278809-57279153",6.17336708447692,"CCL22","protein_coding",79790.5,"distal","yellow"
"T1_MBC_to_prePB","chr16-57278809-57279153",6.17336708447692,"CCL17","protein_coding",125785.5,"distal","yellow"
"T1_MBC_to_prePB","chr5-112312065-112312635",6.46707251482476,"NREP","protein_coding",314886.5,"distal","turquoise"
"T1_MBC_to_prePB","chr5-112312065-112312635",6.46707251482476,"EPB41L4A-AS1","lincRNA",151824.5,"distal","brown"
"T1_MBC_to_prePB","chr11-65337574-65337833",4.91077599002272,"BATF2","protein_coding",340659,"distal","blue"
"T1_MBC_to_prePB","chr11-65337574-65337833",4.91077599002272,"NEAT1","lincRNA",85070,"distal","blue"
"T1_MBC_to_prePB","chr11-65337574-65337833",4.91077599002272,"MALAT1","lincRNA",160058,"distal","blue"
"T1_MBC_to_prePB","chr11-64085442-64085704",6.68583334923983,"STIP1","protein_coding",99698.5,"distal","turquoise"
"T1_MBC_to_prePB","chr11-64085442-64085704",6.68583334923983,"PPP1R14B","protein_coding",161367.5,"distal","turquoise"
"T1_MBC_to_prePB","chr11-64085442-64085704",6.68583334923983,"AP003774.1","antisense",243930.5,"distal","blue"
"T1_MBC_to_prePB","chr20-47894707-47894995",7.1567606828456,"LINC00494","lincRNA",465098.5,"distal","brown"
"T1_MBC_to_prePB","chr14-24583933-24584209",7.48837376726748,"IRF9","protein_coding",423018.5,"distal","blue"
"T1_MBC_to_prePB","chr17-27229990-27230264",5.80928192187819,"KSR1","protein_coding",226586.5,"distal","yellow"
"T1_MBC_to_prePB","chr12-109125105-109125650",12.1607238606325,"UNG","protein_coding",27804,"proximal","turquoise"
"T1_MBC_to_prePB","chr19-3762696-3763017",6.64589802637428,"EBI3","protein_coding",466641,"distal","turquoise"
"T1_MBC_to_prePB","chr6-17707033-17707296",12.2922020280321,"RP11-500C11.3","antisense",908,"promoter","turquoise"
"T1_MBC_to_prePB","chr6-17707033-17707296",12.2922020280321,"KIF13A","protein_coding",280458,"distal","brown"
"T1_MBC_to_prePB","chr11-122932932-122933204",6.61414686410812,"HSPA8","protein_coding",130161.5,"distal","turquoise"
"T1_MBC_to_prePB","chr11-122932932-122933204",6.61414686410812,"GRAMD1B","protein_coding",425359.5,"distal","yellow"
"T1_MBC_to_prePB","chr11-809597-809866",7.4274501821404,"HRAS","protein_coding",272445,"distal","turquoise"
"T1_MBC_to_prePB","chr6-31926673-31926979",6.34549968855316,"LTA","protein_coding",354772.5,"distal","yellow"
"T1_MBC_to_prePB","chr6-31926673-31926979",6.34549968855316,"TNF","protein_coding",351259.5,"distal","yellow"
"T1_MBC_to_prePB","chr6-31926673-31926979",6.34549968855316,"LTB","protein_coding",344304.5,"distal","brown"
"T1_MBC_to_prePB","chr6-31926673-31926979",6.34549968855316,"AIF1","protein_coding",311642.5,"distal","turquoise"
"T1_MBC_to_prePB","chr6-31926673-31926979",6.34549968855316,"LSM2","protein_coding",119842.5,"distal","turquoise"
"T1_MBC_to_prePB","chr6-31926673-31926979",6.34549968855316,"HSPA1A","protein_coding",111362.5,"distal","turquoise"
"T1_MBC_to_prePB","chr8-29940448-29940736",7.07279989895305,"RP11-489E7.4","antisense",142165.5,"distal","brown"
"T1_MBC_to_prePB","chr5-74632751-74633033",7.05040725389874,"ENC1","protein_coding",8531.5,"proximal","brown"
"T1_MBC_to_prePB","chr19-49588452-49588747",4.51776254724915,"PRMT1","protein_coding",87186,"distal","turquoise"
"T1_MBC_to_prePB","chr19-49588452-49588747",4.51776254724915,"ATF5","protein_coding",340102,"distal","turquoise"
"T1_MBC_to_prePB","chr17-76836924-76837197",4.79122306591328,"SRSF2","protein_coding",99687,"distal","turquoise"
"T1_MBC_to_prePB","chr22-37595410-37595732",5.79885365837637,"IL2RB","protein_coding",420517.5,"distal","turquoise"
"T1_MBC_to_prePB","chr22-37595410-37595732",5.79885365837637,"LGALS1","protein_coding",80036.5,"distal","turquoise"
"T1_MBC_to_prePB","chr22-37595410-37595732",5.79885365837637,"H1F0","protein_coding",209521.5,"distal","blue"
"T1_MBC_to_prePB","chr6-24667104-24667366",6.85512514659894,"GMNN","protein_coding",107695.5,"distal","turquoise"
"T1_MBC_to_prePB","chr6-24667104-24667366",6.85512514659894,"RP11-367G6.3","lincRNA",374934.5,"distal","brown"
"T1_MBC_to_prePB","chr8-11660036-11660318",6.26936498292463,"FAM167A","protein_coding",185462.5,"distal","brown"
"T1_MBC_to_prePB","chr11-6704530-6704793",7.06063890972309,"PRKCDBP","protein_coding",384015,"distal","yellow"
"T1_MBC_to_prePB","chr16-84150420-84150685",6.57019616879345,"COTL1","protein_coding",467524,"distal","turquoise"
"T1_MBC_to_prePB","chr19-55850894-55851170",4.78383143796639,"UBE2S","protein_coding",443255.5,"distal","turquoise"
"T1_MBC_to_prePB","chr12-108908810-108909070",7.5877777994917,"UNG","protein_coding",188633.5,"distal","turquoise"
"T1_MBC_to_prePB","chr4-17812257-17812536",6.02251455297241,"NCAPG","protein_coding",1495,"promoter","turquoise"
"T1_MBC_to_prePB","chr22-36925134-36925547",6.1534371694873,"IL2RB","protein_coding",249713,"distal","turquoise"
"T1_MBC_to_prePB","chr19-48972229-48972492",6.37383740157712,"BAX","protein_coding",17546,"proximal","turquoise"
"T1_MBC_to_prePB","chr7-45039444-45039703",6.05947427108549,"PPIA","protein_coding",242894,"distal","turquoise"
"T1_MBC_to_prePB","chr7-45039444-45039703",6.05947427108549,"SNHG15","lincRNA",52613,"distal","turquoise"
"T1_MBC_to_prePB","chr12-117175854-117176135",5.5457364932164,"TESC","protein_coding",76516,"distal","turquoise"
"T1_MBC_to_prePB","chr11-64546333-64546601",6.78555732443905,"STIP1","protein_coding",361195.5,"distal","turquoise"
"T1_MBC_to_prePB","chr11-64546333-64546601",6.78555732443905,"PPP1R14B","protein_coding",299526.5,"distal","turquoise"
"T1_MBC_to_prePB","chr11-64546333-64546601",6.78555732443905,"AP003774.1","antisense",216963.5,"distal","blue"
"T1_MBC_to_prePB","chr11-64546333-64546601",6.78555732443905,"BATF2","protein_coding",450577.5,"distal","blue"
"T1_MBC_to_prePB","chr3-12705566-12705873",5.84017720645805,"PPARG","protein_coding",418352,"distal","turquoise"
"T1_MBC_to_prePB","chr7-45026159-45026445",4.56561767029475,"PPIA","protein_coding",229622.5,"distal","turquoise"
"T1_MBC_to_prePB","chr7-45026159-45026445",4.56561767029475,"SNHG15","lincRNA",39341.5,"proximal","turquoise"
"T1_MBC_to_prePB","chr7-45151229-45151482",7.09289096647039,"PPIA","protein_coding",354676,"distal","turquoise"
"T1_MBC_to_prePB","chr7-45151229-45151482",7.09289096647039,"SNHG15","lincRNA",164395,"distal","turquoise"
"T1_MBC_to_prePB","chr7-45151229-45151482",7.09289096647039,"ADCY1","protein_coding",422784,"distal","turquoise"
"T1_MBC_to_prePB","chr1-207494762-207495186",12.7646850616741,"C4BPB","protein_coding",406132.5,"distal","yellow"
"T1_MBC_to_prePB","chr16-56965715-56966132",3.73726563165748,"MT2A","protein_coding",357725,"distal","turquoise"
"T1_MBC_to_prePB","chr16-56965715-56966132",3.73726563165748,"MT1E","protein_coding",340449,"distal","turquoise"
"T1_MBC_to_prePB","chr16-56965715-56966132",3.73726563165748,"MT1G","protein_coding",297859,"distal","turquoise"
"T1_MBC_to_prePB","chr16-56965715-56966132",3.73726563165748,"MT1H","protein_coding",296110,"distal","turquoise"
"T1_MBC_to_prePB","chr16-56965715-56966132",3.73726563165748,"MT1X","protein_coding",283500,"distal","turquoise"
"T1_MBC_to_prePB","chr16-56965715-56966132",3.73726563165748,"CCL22","protein_coding",392848,"distal","yellow"
"T1_MBC_to_prePB","chr16-56965715-56966132",3.73726563165748,"CCL17","protein_coding",438843,"distal","yellow"
"T1_MBC_to_prePB","chr11-118992006-118992266",6.31583382601914,"CXCR5","protein_coding",108370.5,"distal","brown"
"T1_MBC_to_prePB","chr16-87425676-87425929",4.80268138923049,"SLC7A5","protein_coding",443685,"distal","turquoise"
"T1_MBC_to_prePB","chr16-30759430-30759710",6.03751771812892,"DCTPP1","protein_coding",329495.5,"distal","turquoise"
"T1_MBC_to_prePB","chr6-33679398-33679661",7.56411858316542,"KIFC1","protein_coding",287994,"distal","turquoise"
"T1_MBC_to_prePB","chr19-47104122-47104416",6.36760574025374,"BBC3","protein_coding",128496.5,"distal","brown"
"T1_MBC_to_prePB","chr17-40075177-40075454",7.39612079135234,"TOP2A","protein_coding",342634,"distal","turquoise"
"T1_MBC_to_prePB","chr17-40075177-40075454",7.39612079135234,"RP5-1028K7.2","lincRNA",441710,"distal","yellow"
"T1_MBC_to_prePB","chr17-40075177-40075454",7.39612079135234,"CCR7","protein_coding",490156,"distal","yellow"
"T1_MBC_to_prePB","chr10-5931871-5932140",4.8470279934625,"IL2RA","protein_coding",130319,"distal","turquoise"
"T1_MBC_to_prePB","chr10-5931871-5932140",4.8470279934625,"PFKFB3","protein_coding",212928,"distal","yellow"
"T1_MBC_to_prePB","chr11-3013535-3013799",5.4862226812323,"KCNQ1OT1","antisense",313673.5,"distal","blue"
"T1_MBC_to_prePB","chr11-3013535-3013799",5.4862226812323,"CDKN1C","protein_coding",127786.5,"distal","blue"
"T1_MBC_to_prePB","chr6-135375886-135376150",6.1671590930475,"MYB","protein_coding",194703.5,"distal","turquoise"
"T1_MBC_to_prePB","chr17-26972143-26972460",7.6168176072592,"KSR1","protein_coding",484412,"distal","yellow"
"T1_MBC_to_prePB","chr15-90777149-90777512",7.24912159370098,"PRC1","protein_coding",218298,"distal","turquoise"
"T1_MBC_to_prePB","chr17-40540589-40540892",5.81559859066599,"TOP2A","protein_coding",122791,"distal","turquoise"
"T1_MBC_to_prePB","chr17-40540589-40540892",5.81559859066599,"RP5-1028K7.2","lincRNA",23715,"proximal","yellow"
"T1_MBC_to_prePB","chr17-40540589-40540892",5.81559859066599,"CCR7","protein_coding",24731,"proximal","yellow"
"T1_MBC_to_prePB","chr17-40540589-40540892",5.81559859066599,"TMEM99","protein_coding",278365,"distal","turquoise"
"T1_MBC_to_prePB","chr16-3450905-3451363",7.44349457192011,"IL32","protein_coding",385837.5,"distal","turquoise"
"T1_MBC_to_prePB","chr16-3450905-3451363",7.44349457192011,"RP11-473M20.16","lincRNA",293651.5,"distal","turquoise"
"T1_MBC_to_prePB","chr17-58469525-58469806",5.05832493562249,"MIR142","antisense",137158,"distal","brown"
"T1_MBC_to_prePB","chr11-66247689-66248116",6.41832833145398,"CFL1","protein_coding",385877,"distal","turquoise"
"T1_MBC_to_prePB","chr11-66247689-66248116",6.41832833145398,"FOSL1","protein_coding",347330,"distal","turquoise"
"T1_MBC_to_prePB","chr22-43583503-43583759",6.08587298038556,"TTLL12","protein_coding",396498.5,"distal","turquoise"
"T1_MBC_to_prePB","chr8-81083434-81083962",5.49114729237559,"FABP5","protein_coding",196664.5,"distal","turquoise"
"T1_MBC_to_prePB","chr13-34116658-34117071",4.46841623687204,"RFC3","protein_coding",298816,"distal","turquoise"
"T1_MBC_to_prePB","chr16-29801781-29802053",5.15746732537612,"ALDOA","protein_coding",251172.5,"distal","turquoise"
"T1_MBC_to_prePB","chr19-41076481-41076736",6.44616339621853,"AC006129.2","lincRNA",468583,"distal","blue"
"T1_MBC_to_prePB","chr17-46048132-46048398",4.77022915330026,"KANSL1-AS1","antisense",145310.5,"distal","blue"
"T1_MBC_to_prePB","chr17-1359519-1359778",6.01102021493105,"MIR22HG","lincRNA",357525,"distal","blue"
"T1_MBC_to_prePB","chr19-54960255-54960525",6.94460219031546,"UBE2S","protein_coding",447386.5,"distal","turquoise"
"T1_MBC_to_prePB","chr15-59225863-59226149",6.73918861495115,"CCNB2","protein_coding",120928.5,"distal","turquoise"
"T1_MBC_to_prePB","chr17-1303397-1303682",6.97453164387331,"MIR22HG","lincRNA",413634,"distal","blue"
"T1_MBC_to_prePB","chr7-25902068-25902354",6.2340092008642,"HNRNPA2B1","protein_coding",299317.5,"distal","turquoise"
"T1_MBC_to_prePB","chr7-25902068-25902354",6.2340092008642,"CBX3","protein_coding",298950.5,"distal","turquoise"
"T1_MBC_to_prePB","chr7-25902068-25902354",6.2340092008642,"SNX10","protein_coding",389683.5,"distal","turquoise"
"T1_MBC_to_prePB","chr3-122102888-122103170",5.94333806049938,"CD86","protein_coding",47663.5,"proximal","turquoise"
"T1_MBC_to_prePB","chr12-105501350-105501608",6.22692373867932,"C12orf75","protein_coding",266189.5,"distal","turquoise"
"T1_MBC_to_prePB","chr9-35732166-35732503",4.38600761126861,"CD72","protein_coding",85525,"distal","brown"
"T1_MBC_to_prePB","chr19-49122385-49122807",6.17498074466276,"BAX","protein_coding",167781.5,"distal","turquoise"
"T1_MBC_to_prePB","chr15-72564947-72565207",5.07751203510402,"PKM","protein_coding",333255.5,"distal","turquoise"
"T1_MBC_to_prePB","chr19-50887314-50887598",5.44045083754504,"SPIB","protein_coding",468518.5,"distal","yellow"
"T1_MBC_to_prePB","chr14-75725626-75725900",7.54591192742333,"FOS","protein_coding",446989.5,"distal","brown"
"T1_MBC_to_prePB","chr14-75725626-75725900",7.54591192742333,"BATF","protein_coding",203338.5,"distal","turquoise"
"T1_MBC_to_prePB","chr17-78428493-78428760",7.09583755434014,"BIRC5","protein_coding",214441,"distal","turquoise"
"T1_MBC_to_prePB","chr17-78428493-78428760",7.09583755434014,"SOCS3","protein_coding",68550,"distal","blue"
"T1_MBC_to_prePB","chr22-50311986-50312254",6.69205728342006,"CTA-384D8.36","antisense",211805.5,"distal","turquoise"
"T1_MBC_to_prePB","chr22-50311986-50312254",6.69205728342006,"CTA-384D8.34","lincRNA",230529.5,"distal","blue"
"T1_MBC_to_prePB","chr8-22102557-22102822",5.34936699346544,"SLC39A14","protein_coding",264559,"distal","turquoise"
"T1_MBC_to_prePB","chr12-98987264-98987536",7.20871203524128,"TMPO-AS1","antisense",470978.5,"distal","turquoise"
"T1_MBC_to_prePB","chr3-47823370-47823650",5.73671456042573,"CDC25A","protein_coding",364891.5,"distal","turquoise"
"T1_MBC_to_prePB","chr20-49126717-49127002",6.10239016797273,"ZFAS1","antisense",151318,"distal","turquoise"
"T1_MBC_to_prePB","chr12-123717553-123717834",4.22896817406492,"RILPL2","protein_coding",280977,"distal","turquoise"
"T1_MBC_to_prePB","chr3-9791399-9791654",12.3480512927402,"ARPC4","protein_coding",968,"promoter","turquoise"
"T1_MBC_to_prePB","chr19-47164482-47164746",3.9803701264156,"BBC3","protein_coding",68151.5,"distal","brown"
"T1_MBC_to_prePB","chr15-41245288-41245669",6.98975238229056,"CHAC1","protein_coding",292517,"distal","blue"
"T1_MBC_to_prePB","chr15-41245288-41245669",6.98975238229056,"NUSAP1","protein_coding",87215,"distal","turquoise"
"T1_MBC_to_prePB","chr7-44646174-44646430",7.23491817210477,"PPIA","protein_coding",150377.5,"distal","turquoise"
"T1_MBC_to_prePB","chr7-44646174-44646430",7.23491817210477,"SNHG15","lincRNA",340658.5,"distal","turquoise"
"T1_MBC_to_prePB","chr7-44646538-44646788",13.0733557585433,"PPIA","protein_coding",150016.5,"distal","turquoise"
"T1_MBC_to_prePB","chr7-44646538-44646788",13.0733557585433,"SNHG15","lincRNA",340297.5,"distal","turquoise"
"T1_MBC_to_prePB","chr3-156806821-156807135",6.59312426915663,"LINC00886","lincRNA",10083.5,"proximal","blue"
"T1_MBC_to_prePB","chr16-3053868-3054209",6.1976850588665,"IL32","protein_coding",11258,"proximal","turquoise"
